card_id,card_name,set_id,set_name,local_id,image_url,quick_matched_id,quick_correct,quick_time_s,claude_matched_id,claude_correct,claude_time_s
me01-015,Shiftry,me01,Mega Evolution,015,https://assets.tcgdex.net/en/me/me01/015/low.webp,ex2-12,False,1.124,,,
sm2-114,Komala,sm2,Guardians Rising,114,https://assets.tcgdex.net/en/sm/sm2/114/low.webp,sm2-114,True,0.627,,,
svp-028,Miraidon ex,svp,SVP Black Star Promos,028,https://assets.tcgdex.net/en/sv/svp/028/low.webp,,False,0.474,,,
dv1-17,Druddigon,dv1,Dragon Vault,17,https://assets.tcgdex.net/en/bw/dv1/17/low.webp,dv1-17,True,0.602,,,
swsh4-115,Steelix V,swsh4,Vivid Voltage,115,https://assets.tcgdex.net/en/swsh/swsh4/115/low.webp,swsh4-115,True,0.568,,,
pl2-112,Pikachu,pl2,Rising Rivals,112,https://assets.tcgdex.net/en/pl/pl2/112/low.webp,,False,0.742,,,
base2-42,Persian,base2,Jungle,42,https://assets.tcgdex.net/en/base/base2/42/low.webp,base2-43,False,0.564,,,
B1a-083,Mega Venusaur ex,B1a,Crimson Blaze,083,https://assets.tcgdex.net/en/tcgp/B1a/083/low.webp,,False,0.455,,,
xyp-XY36,Treecko,xyp,XY Black Star Promos,XY36,https://assets.tcgdex.net/en/xy/xyp/XY36/low.webp,,False,0.393,,,
pl1-15,Shaymin,pl1,Platinum,15,https://assets.tcgdex.net/en/pl/pl1/15/low.webp,pl1-15,True,0.545,,,
xy4-121,M Gengar EX,xy4,Phantom Forces,121,https://assets.tcgdex.net/en/xy/xy4/121/low.webp,,False,0.515,,,
basep-47,Mew,basep,Wizards Black Star Promos,47,https://assets.tcgdex.net/en/base/basep/47/low.webp,ecard1-19,False,0.415,,,
sm5-148,Cynthia,sm5,Ultra Prism,148,https://assets.tcgdex.net/en/sm/sm5/148/low.webp,,False,0.411,,,
pop1-6,Beautifly,pop1,POP Series 1,6,https://assets.tcgdex.net/en/pop/pop1/6/low.webp,,False,0.794,,,
dp4-69,Houndour,dp4,Great Encounters,69,https://assets.tcgdex.net/en/dp/dp4/69/low.webp,,False,0.414,,,
sv07-105,Melmetal ex,sv07,Stellar Crown,105,https://assets.tcgdex.net/en/sv/sv07/105/low.webp,sv07-105,True,0.577,,,
dp7-23,Roserade,dp7,Stormfront,23,https://assets.tcgdex.net/en/dp/dp7/23/low.webp,,False,0.691,,,
gym2-66,Blaine's Vulpix,gym2,Gym Challenge,66,https://assets.tcgdex.net/en/gym/gym2/66/low.webp,,False,0.632,,,
ex9-10,Sceptile,ex9,Emerald,10,https://assets.tcgdex.net/en/ex/ex9/10/low.webp,,False,0.852,,,
ex12-7,Kabutops,ex12,Legend Maker,7,https://assets.tcgdex.net/en/ex/ex12/7/low.webp,,False,0.489,,,
